Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.6866700000000001,0.05184,0,0,0
9.9999,4.65333,0.08395,0,1,1
19.9999,4.46,0.08022,1,1,1
29.9999,4.03333,0.08557999999999999,1,1,1
39.9999,3.77333,0.08043,1,0,0
49.9999,3.58667,0.06089,1,0,0
59.9999,3.5933300000000004,0.0723,3,0,0
69.9999,3.60667,0.05744,1,0,0
79.9999,3.56,0.07645,1,0,0
89.9999,4.79333,0.10555999999999999,4,1,1
99.9999,4.6933300000000004,0.12492,2,1,1
109.9999,4.53333,0.13810999999999998,2,1,1
119.9999,4.28,0.07297999999999999,2,1,1
129.9999,5.2333300000000005,0.07527,4,1,1
139.9999,5.013330000000001,0.026560000000000004,1,1,1
149.9999,4.86,0.01376,3,1,1
159.9999,5.25333,0.07367,4,1,1
169.9999,5.16,0.07479,3,1,1
179.9999,4.82,0.0591,1,1,1
189.9999,4.65333,0.08782999999999999,2,1,1
199.9999,5.28,0.10455,4,1,1
209.9999,5.12,0.11363,2,1,1
219.9999,4.96,0.03756,3,1,1
229.9999,4.973330000000001,0.013609999999999999,3,1,1
239.9999,4.91333,0.07352,3,1,1
249.9999,5.3,0.14337,4,1,1
259.9999,5.32667,0.14968,4,1,1
269.9999,5.12667,0.13993,1,1,1
279.9999,5.3133300000000006,0.15586,4,1,1
289.9999,5.026669999999999,0.13987,1,1,1
299.9999,5.32,0.18127000000000001,4,1,1
309.9999,5.1,0.15207,2,1,1
319.9999,4.92,0.11457,2,1,1
329.9999,4.7,0.14343,2,1,1
339.9999,5.25333,0.22810999999999998,4,1,1
349.9999,5.18,0.24165999999999999,3,1,1
359.9999,5.013330000000001,0.26777,3,1,1
369.9999,4.92667,0.24464,3,1,1
379.9999,4.54,0.2309,1,1,1
389.9999,5.32,0.31958000000000003,4,1,1
399.9999,5.03333,0.28994000000000003,1,1,1
409.9999,4.86,0.27791,3,1,1
419.9999,4.68,0.27237,1,1,1
429.9999,5.28,0.35778000000000004,4,1,1
439.9999,5.26,0.43141,4,1,1
449.9999,5.22,0.49638000000000004,4,1,1
459.9999,5.106669999999999,0.44471000000000005,1,1,1
469.9999,5.1,0.43615,3,1,1
479.9999,5.25333,0.50097,4,1,1
489.9999,5.3066699999999996,0.5353899999999999,4,1,1
499.9999,5.21333,0.49081,3,1,1
509.9999,5.11333,0.50588,3,1,1
519.9999,4.7333300000000005,0.4762,1,1,1
529.9999,4.48,0.39541,1,1,1
539.9999,4.1866699999999994,0.43288000000000004,1,1,1
549.9999,4.21333,0.45348999999999995,2,1,1
559.9999,5.24667,0.55907,4,1,1
569.9999,5.06,0.5187,1,1,1
579.9999,4.90667,0.49363,2,1,1
589.9999,4.94,0.48636,3,1,1
599.9999,4.98,0.48576,3,1,1
609.9999,4.92,0.41034,3,1,1
619.9999,4.66,0.39135,2,1,1
629.9999,4.38667,0.44045,1,1,1
639.9999,4.3,0.39558000000000004,2,1,1
649.9999,4.20667,0.41508999999999996,1,1,1
659.9999,4.09333,0.38792,2,1,1
669.9999,5.26,0.62162,4,1,1
679.9999,5.3133300000000006,0.67486,4,1,1
689.9999,5.08667,0.59234,1,1,1
699.9999,5.3066699999999996,0.7026600000000001,4,1,1
709.9999,5.14,0.66064,2,1,1
719.9999,4.78,0.57996,1,1,1
729.9999,4.79333,0.61392,3,1,1
739.9999,4.473330000000001,0.58448,1,1,1
749.9999,5.393330000000001,0.8234299999999999,4,1,1
759.9999,5.2,0.75341,2,1,1
769.9999,5.026669999999999,0.7277399999999999,2,1,1
779.9999,4.87333,0.68202,3,1,1
789.9999,4.75333,0.63689,1,1,1
799.9999,4.74,0.6767,3,1,1
809.9999,4.63333,0.63138,2,1,1
819.9999,5.34667,0.9162799999999999,4,2,1
829.9999,5.1933300000000004,0.8365100000000001,1,1,1
839.9999,5.11333,0.79469,3,1,1
849.9999,4.986669999999999,0.7546,2,1,1
859.9999,5.513330000000001,0.9705600000000001,4,2,1
869.9999,5.55333,0.99534,4,2,2
879.9999,5.32667,0.8789,1,1,1
889.9999,5.56,0.99656,4,2,2
899.9999,5.32,0.87259,2,1,1
909.9999,5.20667,0.83388,2,1,1
919.9999,4.87333,0.74675,1,1,1
929.9999,4.74667,0.72063,1,1,1
939.9999,4.566669999999999,0.62864,2,1,1
949.9999,4.79333,0.6882699999999999,3,1,1
959.9999,4.44667,0.58281,1,1,1
969.9999,4.42,0.5724899999999999,3,1,1
979.9999,4.56,0.57957,3,1,1
989.9999,4.4,0.59696,2,1,1
999.9999,4.46,0.6197,3,1,1
