Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.6866700000000001,0.05184,0,0,0
9.9999,4.65333,0.08395,0,1,1
19.9999,4.486669999999999,0.07906,2,1,1
29.9999,5.0,0.16446,4,1,1
39.9999,4.853330000000001,0.21334,3,1,1
49.9999,4.54667,0.14652,1,1,1
59.9999,4.46667,0.24547,3,1,1
69.9999,5.04,0.26231,4,1,1
79.9999,4.63333,0.28471,1,1,1
89.9999,4.45333,0.27328,2,1,1
99.9999,4.513330000000001,0.20295,2,1,1
109.9999,5.04667,0.27518000000000004,4,1,1
119.9999,4.84,0.25542,3,1,1
129.9999,5.04667,0.33109,4,1,1
139.9999,4.96,0.39413000000000004,3,1,1
149.9999,4.7266699999999995,0.40274,2,1,1
159.9999,5.1866699999999994,0.6154,4,1,1
169.9999,5.04667,0.61261,3,1,1
179.9999,5.0,0.60145,3,1,1
189.9999,5.393330000000001,0.81142,4,2,1
199.9999,5.40667,0.82039,4,2,1
209.9999,5.28667,0.79204,3,1,1
219.9999,5.40667,0.83089,4,2,1
229.9999,5.33333,0.7851600000000001,3,1,1
239.9999,5.17333,0.72537,3,1,1
249.9999,5.41333,0.8721,4,2,1
259.9999,5.2666699999999995,0.8224,3,1,1
269.9999,5.16667,0.8359,2,1,1
279.9999,4.88667,0.7384,1,1,1
289.9999,4.74667,0.6896399999999999,2,1,1
299.9999,4.59333,0.63273,2,1,1
309.9999,5.44667,0.9601700000000001,4,2,1
319.9999,5.34,0.87087,2,1,1
329.9999,5.04,0.78259,1,1,1
339.9999,4.893330000000001,0.7221,1,1,1
349.9999,4.606669999999999,0.68767,2,1,1
359.9999,4.526669999999999,0.63278,2,1,1
369.9999,5.513330000000001,0.977,4,2,1
379.9999,5.36,0.88415,3,1,1
389.9999,5.28667,0.86755,3,1,1
399.9999,4.8066699999999996,0.6895,1,1,1
409.9999,4.94,0.75837,3,1,1
419.9999,5.526669999999999,0.9884799999999999,4,2,1
429.9999,5.55333,0.99106,4,2,2
439.9999,5.41333,0.90505,3,1,1
449.9999,5.11333,0.7953600000000001,1,1,1
459.9999,5.54,0.98945,4,2,1
469.9999,5.41333,0.90696,2,1,1
479.9999,5.56,0.99574,4,2,2
489.9999,5.41333,0.8954700000000001,2,1,1
499.9999,5.1866699999999994,0.81415,1,1,1
509.9999,5.526669999999999,0.98674,4,2,1
519.9999,5.55333,0.99377,4,2,2
529.9999,5.393330000000001,0.8891600000000001,2,1,1
539.9999,5.55333,0.9955799999999999,4,2,2
549.9999,5.37333,0.88712,1,1,1
559.9999,5.3133300000000006,0.84624,3,1,1
569.9999,5.53333,0.98667,4,2,1
579.9999,5.486669999999999,0.91699,3,1,1
589.9999,5.36,0.87165,3,1,1
599.9999,5.16,0.81826,2,1,1
609.9999,4.84667,0.74012,1,1,1
619.9999,4.72,0.6796800000000001,2,1,1
629.9999,4.526669999999999,0.64307,2,1,1
639.9999,4.853330000000001,0.71549,3,1,1
649.9999,4.68,0.68889,1,1,1
659.9999,4.38,0.6093,1,1,1
669.9999,4.24,0.58287,1,0,1
679.9999,4.41333,0.5765399999999999,3,1,1
689.9999,4.15333,0.5774100000000001,2,1,1
699.9999,4.38,0.59973,3,1,1
709.9999,5.473330000000001,0.9592200000000001,4,2,1
719.9999,5.24,0.84296,1,1,1
729.9999,5.52,0.9937,4,2,2
739.9999,5.44,0.928,3,1,1
749.9999,5.52,0.99013,4,2,2
759.9999,5.2333300000000005,0.8534,1,1,1
769.9999,5.21333,0.84809,3,1,1
779.9999,4.98,0.76564,2,1,1
789.9999,4.8133300000000006,0.71818,1,1,1
799.9999,4.606669999999999,0.6684399999999999,2,1,1
809.9999,4.8,0.68434,3,1,1
819.9999,4.64,0.6623399999999999,2,1,1
829.9999,4.70667,0.64499,3,1,1
839.9999,4.36667,0.5855,1,1,1
849.9999,4.29333,0.53158,2,1,1
859.9999,3.93333,0.54604,1,0,0
869.9999,5.52,0.9777100000000001,4,2,1
879.9999,5.353330000000001,0.89771,3,1,1
889.9999,5.33333,0.86267,3,1,1
899.9999,4.94667,0.7608600000000001,1,1,1
909.9999,5.486669999999999,0.976,4,2,1
919.9999,5.353330000000001,0.8907700000000001,3,1,1
929.9999,5.1933300000000004,0.8258700000000001,2,1,1
939.9999,5.54667,0.9930100000000001,4,2,2
949.9999,5.34667,0.8757,1,1,1
959.9999,5.20667,0.8300299999999999,2,1,1
969.9999,5.0,0.77618,2,1,1
979.9999,4.7666699999999995,0.72331,2,1,1
989.9999,5.5,0.97741,4,2,1
999.9999,5.486669999999999,0.9257,3,1,1
