Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,3,2,2
9.9999,5.473330000000001,0.92384,3,1,1
19.9999,5.36667,0.8724,3,1,1
29.9999,5.2266699999999995,0.81253,3,1,1
39.9999,5.146669999999999,0.78608,3,1,1
49.9999,5.09333,0.7892399999999999,3,1,1
59.9999,5.1,0.76373,3,1,1
69.9999,4.94667,0.73469,3,1,1
79.9999,5.00667,0.76327,3,1,1
89.9999,5.02,0.74026,3,1,1
99.9999,4.88667,0.7158800000000001,3,1,1
109.9999,4.88,0.71358,3,1,1
119.9999,4.88667,0.72241,3,1,1
129.9999,4.8066699999999996,0.70924,3,1,1
139.9999,4.96667,0.72978,3,1,1
149.9999,4.86,0.69848,3,1,1
159.9999,4.75333,0.6796800000000001,3,1,1
169.9999,4.86667,0.7099,3,1,1
179.9999,4.78,0.68179,3,1,1
189.9999,4.79333,0.6937399999999999,3,1,1
199.9999,4.986669999999999,0.74338,3,1,1
209.9999,4.853330000000001,0.701,3,1,1
219.9999,4.95333,0.72064,3,1,1
229.9999,4.87333,0.70948,3,1,1
239.9999,4.86,0.69962,3,1,1
249.9999,5.05333,0.77025,3,1,1
259.9999,5.06,0.76858,3,1,1
269.9999,5.066669999999999,0.76471,3,1,1
279.9999,4.99333,0.7256600000000001,3,1,1
289.9999,4.83333,0.7075199999999999,3,1,1
299.9999,4.94667,0.7228100000000001,3,1,1
309.9999,4.90667,0.71133,3,1,1
319.9999,4.9,0.71621,3,1,1
329.9999,5.03333,0.75229,3,1,1
339.9999,4.92,0.71592,3,1,1
349.9999,4.94667,0.73895,3,1,1
359.9999,4.92667,0.71375,3,1,1
369.9999,4.87333,0.70708,3,0,1
379.9999,4.79333,0.72149,3,1,1
389.9999,4.96,0.7441300000000001,3,1,1
399.9999,4.92,0.7360300000000001,3,1,1
409.9999,5.05333,0.76166,3,1,1
419.9999,4.92667,0.74254,3,1,1
429.9999,4.7666699999999995,0.69805,3,1,1
439.9999,5.09333,0.75216,3,1,1
449.9999,5.06,0.7532300000000001,3,1,1
459.9999,4.92667,0.72418,3,1,1
469.9999,4.88,0.70732,3,1,1
479.9999,4.84,0.67081,3,1,1
489.9999,4.78,0.67667,3,1,1
499.9999,4.9,0.68779,3,1,1
509.9999,4.7333300000000005,0.65012,3,1,1
519.9999,4.72,0.6612100000000001,3,1,1
529.9999,4.74,0.69949,3,1,1
539.9999,4.70667,0.66341,3,1,1
549.9999,4.82667,0.69116,3,1,1
559.9999,4.933330000000001,0.7267,3,1,1
569.9999,4.84667,0.70443,3,1,1
579.9999,4.95333,0.7429899999999999,3,1,1
589.9999,5.02,0.7679600000000001,3,1,1
599.9999,4.893330000000001,0.71628,3,1,1
609.9999,4.933330000000001,0.73173,3,1,1
619.9999,4.853330000000001,0.6923199999999999,3,1,1
629.9999,4.86,0.73405,3,1,1
639.9999,4.86,0.7236100000000001,3,1,1
649.9999,5.0,0.7603300000000001,3,1,1
659.9999,4.98,0.76876,3,1,1
669.9999,4.84667,0.71972,3,1,1
679.9999,4.96667,0.7651899999999999,3,1,1
689.9999,4.9,0.71738,3,1,1
699.9999,4.986669999999999,0.72964,3,1,1
709.9999,5.06,0.75632,3,1,1
719.9999,4.95333,0.74548,3,1,1
729.9999,4.986669999999999,0.73127,3,1,1
739.9999,4.893330000000001,0.71713,3,1,1
749.9999,4.90667,0.70923,3,1,1
759.9999,4.84,0.7117,3,1,1
769.9999,4.88667,0.73442,3,1,1
779.9999,4.91333,0.71565,3,1,1
789.9999,4.94,0.7438600000000001,3,1,1
799.9999,4.933330000000001,0.7351300000000001,3,1,1
809.9999,4.91333,0.73851,3,1,1
819.9999,4.86667,0.70316,3,1,1
829.9999,4.95333,0.72627,3,1,1
839.9999,4.90667,0.71528,3,1,1
849.9999,5.026669999999999,0.7630600000000001,3,1,1
859.9999,4.96667,0.74545,3,1,1
869.9999,4.84667,0.71432,3,1,1
879.9999,4.94667,0.70962,3,1,1
889.9999,4.74667,0.64628,3,1,1
899.9999,4.74,0.6624399999999999,3,1,1
909.9999,4.82667,0.6806399999999999,3,1,1
919.9999,4.94,0.72563,3,1,1
929.9999,4.8,0.6781699999999999,3,1,1
939.9999,5.03333,0.72212,3,1,1
949.9999,4.893330000000001,0.70868,3,1,1
959.9999,4.88667,0.68899,3,1,1
969.9999,4.72,0.68988,3,1,1
979.9999,4.8066699999999996,0.69001,3,1,1
989.9999,4.8,0.71699,3,1,1
999.9999,4.79333,0.70525,3,1,1
