level_0,Time,C6_avg,psi6,V,S-2,S-1,S0
0,99.9999,2.35333,0.009000000000000001,2.0,0.0,0.0,0.0
3,114.9999,2.28,0.02207,2.0,0.0,0.0,0.0
4,119.9999,2.52667,0.01008,2.0,0.0,0.0,0.0
5,124.9999,2.6,0.08446000000000001,2.0,0.0,0.0,0.0
7,134.9999,2.73333,0.11075,2.0,0.0,0.0,0.0
8,139.9999,2.68,0.0626,2.0,0.0,0.0,0.0
10,149.9999,2.63333,0.06433,2.0,0.0,0.0,0.0
12,159.9999,2.62,0.03888,2.0,0.0,0.0,0.0
14,169.9999,2.81333,0.06234,2.0,0.0,0.0,0.0
15,174.9999,2.67333,0.07703,2.0,0.0,0.0,0.0
16,179.9999,2.79333,0.07493999999999999,2.0,0.0,0.0,0.0
17,184.9999,2.72,0.0977,2.0,0.0,0.0,0.0
18,189.9999,2.76667,0.14698,2.0,0.0,0.0,0.0
19,194.9999,2.61333,0.06717999999999999,2.0,0.0,0.0,0.0
20,199.9999,2.65333,0.08819,2.0,0.0,0.0,0.0
21,204.9999,2.87333,0.12219,2.0,0.0,0.0,0.0
22,209.9999,3.0,0.0836,2.0,0.0,0.0,0.0
24,219.9999,2.89333,0.07516,2.0,0.0,0.0,0.0
28,239.9999,2.79333,0.033319999999999995,2.0,0.0,0.0,0.0
30,249.9999,2.85333,0.04331,2.0,0.0,0.0,0.0
32,259.9999,2.98,0.05252,2.0,0.0,0.0,0.0
33,264.9999,2.70667,0.05364,2.0,0.0,0.0,0.0
36,279.9999,2.91333,0.04799,2.0,0.0,0.0,0.0
37,284.9999,2.69333,0.075,2.0,0.0,0.0,0.0
38,289.9999,2.85333,0.05731,2.0,0.0,0.0,0.0
39,294.9999,2.88,0.02941,2.0,0.0,0.0,0.0
40,299.9999,3.02,0.004070000000000001,2.0,0.0,0.0,0.0
41,304.9999,3.01333,0.07416,2.0,0.0,0.0,0.0
43,314.9999,2.86667,0.08517000000000001,2.0,0.0,0.0,0.0
45,324.9999,2.79333,0.05236,2.0,0.0,0.0,0.0
47,334.9999,2.85333,0.08347,2.0,0.0,0.0,0.0
48,339.9999,3.05333,0.026560000000000004,2.0,0.0,0.0,0.0
49,344.9999,2.84,0.02913,2.0,0.0,0.0,0.0
50,349.9999,2.82667,0.06331,2.0,0.0,0.0,0.0
51,354.9999,2.86,0.09391,2.0,0.0,0.0,0.0
54,369.9999,3.13333,0.15578,2.0,0.0,0.0,0.0
55,374.9999,3.00667,0.13883,2.0,0.0,0.0,0.0
56,379.9999,2.96,0.079,2.0,0.0,0.0,0.0
58,389.9999,3.03333,0.07064,2.0,0.0,0.0,0.0
59,394.9999,3.12,0.13928,2.0,0.0,0.0,0.0
62,409.9999,3.22,0.09979,2.0,0.0,0.0,0.0
63,414.9999,3.18,0.14004,2.0,0.0,0.0,0.0
69,444.9999,3.1266700000000003,0.22436,2.0,0.0,0.0,0.0
71,454.9999,3.41333,0.28241,2.0,0.0,0.0,0.0
72,459.9999,3.22667,0.2405,2.0,0.0,0.0,0.0
73,464.9999,3.20667,0.27083,2.0,0.0,0.0,0.0
74,469.9999,3.06,0.2147,2.0,0.0,0.0,0.0
75,474.9999,3.26667,0.23283,2.0,0.0,0.0,0.0
78,489.9999,3.12,0.19195,2.0,0.0,0.0,0.0
79,494.9999,2.9,0.14733,2.0,0.0,0.0,0.0
80,499.9999,3.0,0.18307,2.0,0.0,0.0,0.0
81,504.9999,3.16667,0.18419,2.0,0.0,0.0,0.0
82,509.9999,3.23333,0.18869,2.0,0.0,0.0,0.0
83,514.9999,3.22,0.15687,2.0,0.0,0.0,0.0
87,534.9999,3.06667,0.14021,2.0,0.0,0.0,0.0
89,544.9999,3.18,0.14182999999999998,2.0,0.0,0.0,0.0
92,559.9999,3.18667,0.17749,2.0,0.0,0.0,0.0
93,564.9999,3.14667,0.1157,2.0,0.0,0.0,0.0
103,614.9999,3.1266700000000003,0.098,2.0,0.0,0.0,0.0
104,619.9999,3.07333,0.12636,2.0,0.0,0.0,0.0
106,629.9999,3.26667,0.08098999999999999,2.0,0.0,0.0,0.0
107,634.9999,3.00667,0.0518,2.0,0.0,0.0,0.0
110,649.9999,3.18667,0.07927999999999999,2.0,0.0,0.0,0.0
114,669.9999,3.36667,0.06042,2.0,0.0,0.0,0.0
116,679.9999,3.19333,0.08313,2.0,0.0,0.0,0.0
117,684.9999,3.18,0.007790000000000002,2.0,0.0,0.0,0.0
119,694.9999,3.4,0.051779999999999986,2.0,0.0,0.0,0.0
120,699.9999,3.32,0.0891,2.0,0.0,0.0,0.0
121,704.9999,3.43333,0.14152,2.0,0.0,0.0,0.0
122,709.9999,3.44667,0.1503,2.0,0.0,0.0,0.0
127,734.9999,3.13333,0.09586,2.0,0.0,0.0,0.0
128,739.9999,3.13333,0.13646,2.0,0.0,0.0,0.0
129,744.9999,3.04667,0.13265,2.0,0.0,0.0,0.0
130,749.9999,3.22667,0.16856,2.0,0.0,0.0,0.0
132,759.9999,3.3,0.11658,2.0,0.0,0.0,0.0
133,764.9999,3.33333,0.07497999999999999,2.0,0.0,0.0,0.0
134,769.9999,3.34,0.05317,2.0,0.0,0.0,0.0
135,774.9999,3.26667,0.08819,2.0,0.0,0.0,0.0
136,779.9999,3.2866699999999995,0.04922,2.0,0.0,0.0,0.0
137,784.9999,3.09333,0.05989,2.0,0.0,0.0,0.0
140,799.9999,3.37333,0.17582,2.0,0.0,0.0,0.0
143,814.9999,3.33333,0.21677,2.0,0.0,0.0,0.0
149,844.9999,3.29333,0.18395,2.0,0.0,0.0,0.0
150,849.9999,3.4933300000000003,0.23624,2.0,0.0,0.0,0.0
155,874.9999,3.18,0.1961,2.0,0.0,0.0,0.0
156,879.9999,3.39333,0.24271,2.0,0.0,0.0,0.0
160,899.9999,3.23333,0.18208,2.0,0.0,0.0,0.0
161,99.9999,3.66,0.12653,2.0,1.0,0.0,0.0
162,109.9999,3.65333,0.14145,2.0,1.0,0.0,0.0
164,129.9999,3.74667,0.18027,2.0,1.0,0.0,0.0
168,169.9999,3.54,0.2073,2.0,0.0,0.0,0.0
170,189.9999,3.44667,0.24869,2.0,0.0,0.0,0.0
171,199.9999,3.46667,0.30062,2.0,0.0,0.0,0.0
172,209.9999,3.52667,0.33128,2.0,0.0,0.0,0.0
175,239.9999,3.33333,0.3088,2.0,0.0,0.0,0.0
181,299.9999,3.39333,0.26609,2.0,0.0,0.0,0.0
184,329.9999,3.17333,0.24081,2.0,0.0,0.0,0.0
186,349.9999,3.36,0.2549,2.0,0.0,0.0,0.0
187,359.9999,3.25333,0.17901,2.0,0.0,0.0,0.0
188,369.9999,3.30667,0.18747,2.0,0.0,0.0,0.0
189,379.9999,3.3,0.20235,2.0,0.0,0.0,0.0
190,389.9999,3.46667,0.20527,2.0,0.0,0.0,0.0
191,399.9999,3.43333,0.28037,2.0,0.0,0.0,0.0
193,419.9999,3.31333,0.24355,2.0,0.0,0.0,0.0
194,429.9999,3.5133300000000003,0.25303000000000003,2.0,0.0,0.0,0.0
197,459.9999,3.43333,0.26707,2.0,0.0,0.0,0.0
198,469.9999,3.40667,0.23255,2.0,0.0,0.0,0.0
199,479.9999,3.26667,0.25653000000000004,2.0,0.0,0.0,0.0
200,489.9999,3.2866699999999995,0.18998,2.0,0.0,0.0,0.0
201,499.9999,3.36,0.20286,2.0,0.0,0.0,0.0
202,509.9999,3.24667,0.15533,2.0,0.0,0.0,0.0
204,529.9999,3.18,0.20152,2.0,0.0,0.0,0.0
205,539.9999,2.98,0.12841,2.0,0.0,0.0,0.0
206,549.9999,3.05333,0.1308,2.0,0.0,0.0,0.0
211,599.9999,3.22667,0.26007,2.0,0.0,0.0,0.0
212,609.9999,3.18667,0.28236,2.0,0.0,0.0,0.0
213,619.9999,3.26,0.28399,2.0,0.0,0.0,0.0
214,629.9999,3.11333,0.27343,2.0,0.0,0.0,0.0
215,639.9999,3.1266700000000003,0.23792,2.0,0.0,0.0,0.0
217,659.9999,3.33333,0.18444,2.0,0.0,0.0,0.0
218,669.9999,3.24,0.20054,2.0,0.0,0.0,0.0
220,689.9999,3.06,0.1756,2.0,0.0,0.0,0.0
221,699.9999,3.11333,0.12531,2.0,0.0,0.0,0.0
223,719.9999,3.27333,0.07249,2.0,0.0,0.0,0.0
226,749.9999,3.17333,0.03138,2.0,0.0,0.0,0.0
230,789.9999,3.36667,0.06301,2.0,0.0,0.0,0.0
231,799.9999,3.22667,0.10841,2.0,0.0,0.0,0.0
234,829.9999,3.20667,0.12987,2.0,0.0,0.0,0.0
235,839.9999,3.1066700000000003,0.1289,2.0,0.0,0.0,0.0
236,849.9999,3.14,0.11593,2.0,0.0,0.0,0.0
238,869.9999,3.19333,0.14977,2.0,0.0,0.0,0.0
239,879.9999,3.25333,0.0777,2.0,0.0,0.0,0.0
240,889.9999,3.26667,0.03534,2.0,0.0,0.0,0.0
244,119.9999,2.58667,0.06832,2.0,0.0,0.0,0.0
245,129.9999,2.68,0.05593,2.0,0.0,0.0,0.0
248,159.9999,2.7,0.06621,2.0,0.0,0.0,0.0
249,169.9999,2.87333,0.10745,2.0,0.0,0.0,0.0
252,199.9999,2.66,0.08539,2.0,0.0,0.0,0.0
254,219.9999,2.78,0.07342,2.0,0.0,0.0,0.0
255,229.9999,2.99333,0.10372,2.0,0.0,0.0,0.0
258,259.9999,2.98,0.11407,2.0,0.0,0.0,0.0
260,279.9999,3.07333,0.16130999999999998,2.0,0.0,0.0,0.0
261,289.9999,3.18667,0.14999,2.0,0.0,0.0,0.0
262,299.9999,3.01333,0.17343,2.0,0.0,0.0,0.0
263,309.9999,3.14667,0.21949,2.0,0.0,0.0,0.0
264,319.9999,2.88667,0.1913,2.0,0.0,0.0,0.0
267,349.9999,3.1266700000000003,0.14859,2.0,0.0,0.0,0.0
269,369.9999,3.11333,0.1645,2.0,0.0,0.0,0.0
273,409.9999,2.83333,0.09951,2.0,0.0,0.0,0.0
274,419.9999,2.96,0.04375,2.0,0.0,0.0,0.0
275,429.9999,3.16,0.07134,2.0,0.0,0.0,0.0
277,449.9999,2.92667,0.02492,2.0,0.0,0.0,0.0
279,469.9999,3.22667,0.1149,2.0,0.0,0.0,0.0
280,479.9999,3.29333,0.13112,2.0,0.0,0.0,0.0
281,489.9999,3.18,0.05334,2.0,0.0,0.0,0.0
282,499.9999,3.16667,0.07537999999999999,2.0,0.0,0.0,0.0
283,509.9999,3.07333,0.05841,2.0,0.0,0.0,0.0
285,529.9999,3.02667,0.02276,2.0,0.0,0.0,0.0
286,539.9999,2.96667,0.0538,2.0,0.0,0.0,0.0
288,559.9999,3.03333,0.07215,2.0,0.0,0.0,0.0
290,579.9999,2.88,0.11844,2.0,0.0,0.0,0.0
291,589.9999,3.20667,0.07553,2.0,0.0,0.0,0.0
293,609.9999,3.24667,0.12128,2.0,0.0,0.0,0.0
294,619.9999,3.06,0.08062000000000001,2.0,0.0,0.0,0.0
296,639.9999,3.02,0.18039,2.0,0.0,0.0,0.0
297,649.9999,3.1266700000000003,0.10984,2.0,0.0,0.0,0.0
298,659.9999,3.0,0.08827,2.0,0.0,0.0,0.0
300,679.9999,2.99333,0.10215,2.0,0.0,0.0,0.0
301,689.9999,3.16,0.10793,2.0,0.0,0.0,0.0
302,699.9999,3.17333,0.10194,2.0,0.0,0.0,0.0
303,709.9999,3.22,0.0755,2.0,0.0,0.0,0.0
305,729.9999,3.23333,0.08544,2.0,0.0,0.0,0.0
307,749.9999,3.22,0.051620000000000006,2.0,0.0,0.0,0.0
308,759.9999,3.04667,0.07286000000000001,2.0,0.0,0.0,0.0
310,779.9999,3.16667,0.17816,2.0,0.0,0.0,0.0
311,789.9999,3.1,0.09522,2.0,0.0,0.0,0.0
313,809.9999,3.08,0.06096,2.0,0.0,0.0,0.0
314,819.9999,3.0,0.10185,2.0,0.0,0.0,0.0
315,829.9999,3.08667,0.14368,2.0,0.0,0.0,0.0
316,839.9999,2.86,0.05124,2.0,0.0,0.0,0.0
317,849.9999,3.13333,0.18199,2.0,0.0,0.0,0.0
318,859.9999,2.97333,0.13318,2.0,0.0,0.0,0.0
320,879.9999,3.04,0.1364,2.0,0.0,0.0,0.0
323,99.9999,2.48,0.02614,2.0,0.0,0.0,0.0
324,109.9999,2.36,0.02147,2.0,0.0,0.0,0.0
326,129.9999,2.68,0.05593,2.0,0.0,0.0,0.0
329,159.9999,2.7,0.06621,2.0,0.0,0.0,0.0
335,219.9999,2.78,0.07342,2.0,0.0,0.0,0.0
336,229.9999,2.99333,0.10372,2.0,0.0,0.0,0.0
337,239.9999,2.78,0.10798,2.0,0.0,0.0,0.0
340,269.9999,3.04,0.09098,2.0,0.0,0.0,0.0
341,279.9999,3.07333,0.16130999999999998,2.0,0.0,0.0,0.0
342,289.9999,3.18667,0.14999,2.0,0.0,0.0,0.0
346,329.9999,3.05333,0.23633,2.0,0.0,0.0,0.0
351,379.9999,3.1,0.14639000000000002,2.0,0.0,0.0,0.0
352,389.9999,2.98667,0.15780999999999998,2.0,0.0,0.0,0.0
353,399.9999,3.05333,0.15322,2.0,0.0,0.0,0.0
356,429.9999,3.16,0.07134,2.0,0.0,0.0,0.0
357,439.9999,3.03333,0.05349,2.0,0.0,0.0,0.0
358,449.9999,2.92667,0.02492,2.0,0.0,0.0,0.0
