Time,C6_avg,psi6,V,S_cnn,S_param
0.0,4.94667,0.11904,3,1,1
9.9999,4.91333,0.1395,3,1,1
19.9999,4.86,0.1964,3,1,1
29.9999,4.66667,0.16410999999999998,3,1,1
39.9999,4.61333,0.2175,3,1,1
49.9999,4.70667,0.27357,3,1,1
59.9999,4.61333,0.26526,3,1,1
69.9999,4.62667,0.2843,3,1,1
79.9999,4.52,0.23535999999999999,3,1,1
89.9999,4.58667,0.21029,3,1,1
99.9999,4.42667,0.14707,3,1,1
109.9999,4.606669999999999,0.14213,3,1,1
119.9999,4.58667,0.11972000000000001,3,1,1
129.9999,4.53333,0.08612,3,1,1
139.9999,4.63333,0.15581,3,1,1
149.9999,4.49333,0.16429000000000002,3,1,1
159.9999,4.48,0.1554,3,1,1
169.9999,4.433330000000001,0.15537,3,1,1
179.9999,4.36667,0.22675,3,1,1
189.9999,4.42667,0.17078,3,1,1
199.9999,4.433330000000001,0.20599,3,1,1
209.9999,4.433330000000001,0.18773,3,1,1
219.9999,4.45333,0.15897,3,1,1
229.9999,4.52,0.17504,3,1,1
239.9999,4.46667,0.15954000000000002,3,1,1
249.9999,4.54667,0.12947999999999998,3,1,1
259.9999,4.566669999999999,0.1344,3,1,1
269.9999,4.62667,0.16174000000000002,3,1,1
279.9999,4.646669999999999,0.2038,3,1,1
289.9999,4.45333,0.16002,3,1,1
299.9999,4.54667,0.20242000000000002,3,1,1
309.9999,4.58,0.27048,3,1,1
319.9999,4.61333,0.29804,3,1,1
329.9999,4.78,0.30958,3,1,1
339.9999,4.7333300000000005,0.3164,3,1,1
349.9999,4.68,0.31436,3,1,1
359.9999,4.68,0.32058000000000003,3,1,1
369.9999,4.6933300000000004,0.3586,3,1,1
379.9999,4.8133300000000006,0.3533,3,1,1
389.9999,4.62,0.32515,3,1,1
399.9999,4.61333,0.32500999999999997,3,1,1
409.9999,4.67333,0.38445,3,1,1
419.9999,4.58,0.34292,3,1,1
429.9999,4.61333,0.4158,3,1,1
439.9999,4.53333,0.48825,3,1,1
449.9999,4.486669999999999,0.51558,3,1,1
459.9999,4.58667,0.50312,3,1,1
469.9999,4.566669999999999,0.5243,3,1,1
479.9999,4.68,0.54286,3,1,1
489.9999,4.646669999999999,0.53822,3,1,1
499.9999,4.74,0.59153,3,1,1
509.9999,4.82667,0.59199,3,1,1
519.9999,4.63333,0.60534,3,1,1
529.9999,4.67333,0.61251,3,1,1
539.9999,4.78667,0.62863,3,1,1
549.9999,4.64,0.64188,3,1,1
559.9999,4.67333,0.6301100000000001,3,1,1
569.9999,4.78,0.63759,3,1,1
579.9999,4.75333,0.66933,3,1,1
589.9999,4.74,0.6551,3,1,1
599.9999,4.853330000000001,0.6675300000000001,3,1,1
609.9999,4.7666699999999995,0.69235,3,1,1
619.9999,4.82,0.6892199999999999,3,1,1
629.9999,4.96667,0.7169800000000001,3,1,1
639.9999,4.84667,0.67488,3,1,1
649.9999,4.9,0.73109,3,1,1
659.9999,4.933330000000001,0.72332,3,1,1
669.9999,4.88,0.71155,3,1,1
679.9999,4.9,0.7235699999999999,3,1,1
689.9999,4.84,0.69904,3,1,1
699.9999,4.70667,0.64036,3,1,1
709.9999,4.7733300000000005,0.66889,3,1,1
719.9999,4.64,0.60932,3,1,1
729.9999,4.6933300000000004,0.6400399999999999,3,1,1
739.9999,4.68,0.62575,3,1,1
749.9999,4.71333,0.66501,3,1,1
759.9999,4.66,0.63875,3,1,1
769.9999,5.08,0.74121,3,1,1
779.9999,5.013330000000001,0.741,3,1,1
789.9999,5.06,0.73521,3,1,1
799.9999,4.87333,0.69335,3,1,1
809.9999,4.86667,0.68752,3,1,1
819.9999,4.87333,0.67657,3,1,1
829.9999,5.00667,0.74225,3,1,1
839.9999,4.94667,0.7067100000000001,3,1,1
849.9999,4.986669999999999,0.72248,3,1,1
859.9999,4.94,0.7036100000000001,3,1,1
869.9999,5.066669999999999,0.75954,3,1,1
879.9999,4.91333,0.7368,3,1,1
889.9999,4.986669999999999,0.73315,3,1,1
899.9999,4.986669999999999,0.7479600000000001,3,1,1
909.9999,4.99333,0.74955,3,1,1
919.9999,4.90667,0.71153,3,1,1
929.9999,4.94,0.73716,3,1,1
939.9999,5.05333,0.76146,3,1,1
949.9999,5.04,0.75466,3,1,1
959.9999,4.98,0.71096,3,1,1
969.9999,4.95333,0.71821,3,1,1
979.9999,5.08,0.75239,3,1,1
989.9999,5.03333,0.76595,3,1,1
999.9999,5.09333,0.72922,3,1,1
