Time,C6_avg,psi6,V,S_cnn,S_param
0.0,1.6866700000000001,0.05184,0,0,0
9.9999,4.65333,0.08395,0,1,1
19.9999,4.65333,0.08525,3,1,1
29.9999,4.48,0.13357,3,1,1
39.9999,4.52,0.1342,3,1,1
49.9999,4.473330000000001,0.10532000000000001,3,1,1
59.9999,4.34,0.13576,3,1,1
69.9999,4.26,0.09107,1,1,1
79.9999,4.08,0.07246,2,0,1
89.9999,3.7533300000000005,0.04881,1,0,0
99.9999,3.66,0.04936,2,0,0
109.9999,3.4466699999999997,0.04817,1,0,0
119.9999,3.3266699999999996,0.08975,2,0,0
129.9999,5.04,0.28018000000000004,4,1,1
139.9999,5.08667,0.1491,4,1,1
149.9999,4.92,0.11749000000000001,1,1,1
159.9999,5.20667,0.13910999999999998,4,1,1
169.9999,4.90667,0.13752,1,1,1
179.9999,4.84,0.12255999999999999,3,1,1
189.9999,5.2,0.11179000000000001,4,1,1
199.9999,5.05333,0.13283,2,1,1
209.9999,4.8133300000000006,0.12861,2,1,1
219.9999,5.28667,0.21031999999999998,4,1,1
229.9999,5.106669999999999,0.19295,2,1,1
239.9999,5.28,0.21711,4,1,1
249.9999,5.04,0.22307,2,1,1
259.9999,4.84667,0.1644,1,1,1
269.9999,4.7666699999999995,0.22857,2,1,1
279.9999,5.24,0.23223000000000002,4,1,1
289.9999,5.106669999999999,0.21070999999999998,3,1,1
299.9999,5.21333,0.22796,4,1,1
309.9999,5.15333,0.18782000000000001,3,1,1
319.9999,4.973330000000001,0.18772,3,1,1
329.9999,4.86667,0.19483,1,1,1
339.9999,5.20667,0.2144,4,1,1
349.9999,5.2733300000000005,0.24759,4,1,1
359.9999,5.05333,0.18395,1,1,1
369.9999,4.7,0.16771,1,1,1
379.9999,4.46667,0.17349,2,1,1
389.9999,4.15333,0.16341,1,1,1
399.9999,4.08,0.20575,2,0,1
409.9999,3.93333,0.16683,2,0,0
419.9999,3.88,0.1772,1,0,0
429.9999,5.15333,0.19913,4,1,1
439.9999,5.2333300000000005,0.21468,4,1,1
449.9999,5.1,0.20424,3,1,1
459.9999,5.06,0.22735999999999998,1,1,1
469.9999,4.96667,0.22279000000000002,3,1,1
479.9999,4.84,0.22521999999999998,2,1,1
489.9999,5.2733300000000005,0.27614,4,1,1
499.9999,5.066669999999999,0.26896,1,1,1
509.9999,5.12,0.28096,3,1,1
519.9999,4.7733300000000005,0.2735,2,1,1
529.9999,4.61333,0.26716,1,1,1
539.9999,4.62,0.24334,3,1,1
549.9999,4.3133300000000006,0.23324,1,1,1
559.9999,4.07333,0.15339,1,0,1
569.9999,4.2333300000000005,0.17404,3,1,1
579.9999,3.94,0.17762,1,0,0
589.9999,4.2266699999999995,0.2367,3,1,1
599.9999,3.89333,0.22915,1,0,0
609.9999,5.21333,0.32938,4,1,1
619.9999,5.00667,0.28839000000000004,3,1,1
629.9999,4.95333,0.28686,3,1,1
639.9999,4.64,0.29372,1,1,1
649.9999,4.42,0.20496,1,1,1
659.9999,5.22,0.29961,4,1,1
669.9999,5.026669999999999,0.27479000000000003,1,1,1
679.9999,4.59333,0.23365,1,1,1
689.9999,4.64,0.24936999999999998,3,1,1
699.9999,5.3,0.33026,4,1,1
709.9999,5.1933300000000004,0.31278,3,1,1
719.9999,5.24667,0.32471,4,1,1
729.9999,5.25333,0.33505999999999997,4,1,1
739.9999,5.11333,0.33576,2,1,1
749.9999,4.91333,0.32001,1,1,1
759.9999,4.74667,0.2837,3,1,1
769.9999,4.75333,0.30896,3,1,1
779.9999,4.486669999999999,0.26766999999999996,2,1,1
789.9999,4.40667,0.29020999999999997,2,1,1
799.9999,4.49333,0.31343000000000004,3,1,1
809.9999,4.18,0.25594,1,1,1
819.9999,4.15333,0.27126999999999996,2,1,1
829.9999,4.08,0.25389,1,1,1
839.9999,3.85333,0.24344000000000002,1,0,0
849.9999,3.88,0.14184000000000002,3,0,0
859.9999,5.15333,0.34996,4,1,1
869.9999,5.07333,0.34417,3,1,1
879.9999,4.853330000000001,0.32685,3,1,1
889.9999,5.26,0.38514,4,1,1
899.9999,5.013330000000001,0.35281999999999997,1,1,1
909.9999,4.74,0.37435,1,1,1
919.9999,4.5,0.32333,2,1,1
929.9999,4.54,0.34842,2,1,1
939.9999,4.13333,0.30633,1,1,1
949.9999,4.066669999999999,0.26655999999999996,2,1,1
959.9999,4.15333,0.35238,3,1,1
969.9999,4.08,0.34823000000000004,2,0,1
979.9999,5.16,0.40116999999999997,4,1,1
989.9999,4.92,0.39786,1,1,1
999.9999,4.96667,0.39481,3,1,1
